time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-05-27T19:24:53.151Z,36.8279,71.3704,179.761,4.3,mb,39,71,2.616,0.57,us,us7000k4i4,2023-05-28T06:13:50.800Z,"21 km NW of Ashkāsham, Afghanistan",earthquake,7.05,7.72,0.113,22,reviewed,us,us
2023-05-27T17:24:14.993Z,38.2383,73.0171,127.31,4.2,mb,40,93,1.56,0.94,us,us7000k4hv,2023-05-27T18:56:27.040Z,"83 km W of Murghob, Tajikistan",earthquake,4.51,7.877,0.115,23,reviewed,us,us
2023-05-27T17:08:53.420Z,58.2647,-155.1909,0,2.8,ml,,,,0.64,ak,ak0236re67q6,2023-05-29T01:39:11.590Z,"88 km NNW of Karluk, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-05-27T16:49:23.409Z,60.2937,-152.9843,135.3,4.4,ml,,,,0.49,ak,ak0236rdtjd6,2023-05-27T22:10:35.689Z,"74 km E of Port Alsworth, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-05-27T16:49:22.219Z,60.2773,-152.9954,138.674,4.6,mb,91,38,0.18,0.52,us,us7000k4hp,2023-05-27T17:24:07.152Z,"73 km E of Port Alsworth, Alaska",earthquake,4.23,4.787,0.137,16,reviewed,us,us
2023-05-27T16:46:16.190Z,78.5114,7.3677,10,4.9,mb,57,74,0.988,0.94,us,us7000k4hq,2023-05-27T17:12:59.040Z,"189 km W of Longyearbyen, Svalbard and Jan Mayen",earthquake,8.13,1.867,0.049,130,reviewed,us,us
2023-05-27T16:01:32.690Z,19.224666595459,-155.380493164062,30.0699996948242,2.71,ml,56,154,,0.129999995,hv,hv73424512,2023-05-27T16:31:35.040Z,"10 km ENE of Pāhala, Hawaii",earthquake,0.48,0.610000014,3.24,33,automatic,hv,hv
2023-05-27T15:21:47.810Z,-57.9619,-25.6537,52.948,5.5,mww,64,48,7.088,0.89,us,us7000k4gs,2023-05-29T18:18:31.978Z,"South Sandwich Islands region",earthquake,10.05,4.38,0.093,11,reviewed,us,us
2023-05-27T14:24:06.530Z,78.6341,7.2361,10,4.4,mb,18,139,0.964,0.95,us,us7000k4gr,2023-05-27T14:50:39.040Z,"193 km W of Longyearbyen, Svalbard and Jan Mayen",earthquake,4.92,1.889,0.162,11,reviewed,us,us
2023-05-27T13:52:12.452Z,30.0255,129.8972,10,4.8,mb,31,133,1.554,0.71,us,us7000k4gp,2023-05-27T14:33:04.040Z,"57 km WSW of Kurio, Japan",earthquake,8.8,1.92,0.053,111,reviewed,us,us
