FID,Rock Name,Rock Type,Aquifer Name,Aquifer Code,Shape__Area,Shape__Length
3898,Carbonate-rock,400,Floridan Aquifer System,413,462543.9727,2609.468413
3899,Carbonate-rock,400,Floridan Aquifer System,413,2234973.453,7059.496879
3900,Carbonate-rock,400,Floridan Aquifer System,413,14524603.72,23345.92895
3901,Carbonate-rock,400,Floridan Aquifer System,413,513237.168,2704.292421
3902,Carbonate-rock,400,Floridan Aquifer System,413,513225.5762,2704.14329
3903,Carbonate-rock,400,Floridan Aquifer System,413,2252633.033,7095.884247
3904,Carbonate-rock,400,Floridan Aquifer System,413,332403.2441,2174.529086
3905,Carbonate-rock,400,Floridan Aquifer System,413,367760.7246,2279.794431
3906,Carbonate-rock,400,Floridan Aquifer System,413,388465.5078,2340.08917
3907,Carbonate-rock,400,Floridan Aquifer System,413,378100.2969,2317.611322
3908,Carbonate-rock,400,Floridan Aquifer System,413,499313.9785,2686.939962
3909,Carbonate-rock,400,Floridan Aquifer System,413,529796.9043,2737.09105
3910,Carbonate-rock,400,Floridan Aquifer System,413,607071.6348,2964.937618
3911,Carbonate-rock,400,Floridan Aquifer System,413,692856.2441,3144.855555
3912,Carbonate-rock,400,Floridan Aquifer System,413,640784.291,3060.994664
3913,Carbonate-rock,400,Floridan Aquifer System,413,566862.4941,2849.63091
3914,Carbonate-rock,400,Floridan Aquifer System,413,490652.7344,2818.433545
3915,Carbonate-rock,400,Floridan Aquifer System,413,657544.3828,3048.338089
3916,Carbonate-rock,400,Floridan Aquifer System,413,678030.9883,3236.704872
3917,Carbonate-rock,400,Floridan Aquifer System,413,6601840.041,13478.01289
3918,Carbonate-rock,400,Floridan Aquifer System,413,360580.6758,2257.249771
3919,Carbonate-rock,400,Floridan Aquifer System,413,549338.0117,2790.993261
3920,Carbonate-rock,400,Floridan Aquifer System,413,936487.5898,3642.49651
3921,Carbonate-rock,400,Floridan Aquifer System,413,810432.1973,3419.116002
3922,Carbonate-rock,400,Floridan Aquifer System,413,835809.0566,3456.196143
3923,Carbonate-rock,400,Floridan Aquifer System,413,877515.6055,3542.520612
3924,Carbonate-rock,400,Floridan Aquifer System,413,5721422.186,14484.89705
3925,Carbonate-rock,400,Floridan Aquifer System,413,845453.7246,3470.060398
3926,Carbonate-rock,400,Floridan Aquifer System,413,835318.748,3434.395183
3927,Carbonate-rock,400,Floridan Aquifer System,413,827814.4238,3412.956591
3928,Carbonate-rock,400,Floridan Aquifer System,413,826496.9746,3453.711201
3929,Carbonate-rock,400,Floridan Aquifer System,413,651354.2383,3059.919967
3930,Carbonate-rock,400,Floridan Aquifer System,413,836506.4395,3454.128618
3931,Carbonate-rock,400,Floridan Aquifer System,413,965951.5605,3955.973659
3932,Carbonate-rock,400,Floridan Aquifer System,413,1150316.234,4022.276306
